"DJ","AirDate","Artist","Title"
"DF",2016-06-20,"Real Regular","Get Rready"
"DF",2016-07-17,"No Trend","Without Me"
"DF",2016-07-17,"F:a.r. Prosthesis","Rainbow Suite"
"DF",2017-01-29,"Massimo Giacon, Enrico Piva","Nastro Rosso"
"DF",2018-01-05,"Giant Swan","Celebrate The Last 30 Years Of The Human Ego"
"DF",2025-02-17,"The Jesus Lizard","Lord Godiva"
"DF",2016-07-17,"John Bender","43A1 Nervous"
"DF",2024-08-25,"Party Boys","The Window"
"DF",2023-08-07,"Falcon","Stay On Your Side Of The Line"
"DF",2019-05-03,"Buffet Lunch","Do You Like My Trousers"
"DF",2017-07-16,"Vovo Kai","Two Lives One step"
"DF",2017-07-02,"Ramleh","Grazing On Fear 2"
"DF",2021-05-21,"Spiritual Mafia","Lunch"
"DF",2016-08-26,"The Need","Let Them Eat Valium"
"DF",2024-08-25,"The Lloyd Pack","I Just Want To Say Wow"
"DF",2016-07-17,"Kriminal Tanzkapelle","Verena"
"DF",2017-07-02,"C. Mcalister","Existentialitis Overload"
"DF",2025-11-28,"Wartburgs fÃ¼r Walter","More More Anymore"
"DF",2022-06-29,"Spinvis","Birds"
"DF",2022-06-29,"Bruce Gilbert/Graham Lewis/Russell Mills","Mzui"
"DF",2017-07-02,"Fetus Productions","Anthem"
"DF",2023-08-07,"Hypnotizing Chickens","Im On Time"
"DF",2015-12-30,"Motörhead","Emergency"
"DF",2017-08-17,"Jamie And The Debt","Mother"
"DF",2017-07-23,"Taiwan Housing Project","Veblen Death Mask"
"DF",2017-03-26,"The Homosexuals","Do The Total Drop"
"DF",2015-12-30,"Shit & Shine","Fitness"
"DF",2022-06-29,"John Lafia","West Montgomery Park"
"DF",2019-09-16,"Taiwan Housing Project","Wilderness Doll"
"DF",2016-08-29,"Regler","Thrash Metal"
"DF",2023-01-02,"Catastrophe Bizarre","Furniture"
"DF",2016-08-29,"Gad Whip","Abbey Lincoln MixMax"
"DF",2017-07-23,"Powell","Mad Love feat Loke Rahbek"
"DF",2017-01-29,"Consolidated Plastics","Honey"
"DF",2020-01-06,"C.i.a. Debutante","The Band That Got Away"
"DF",2015-12-30,"Vapor Gourds","Io"
"DF",2017-04-17,"Duo Kribo","Rumah Hantu"
"DF",2016-01-10,"Carter Tutti Void","26"
"DF",2017-01-29,"Mark Feehan","Project Fall Weiss"
"DF",2017-07-02,"Heat Wilson","Hold This Hot Thing"
"DF",2017-04-17,"Schatten Unter Eis","We Might As Well Be Dead"
"DF",2017-03-26,"Margaret Freeman","Das Ist Schwingen"
"DF",2022-09-25,"Cube","Commercial For Nicotine"
"DF",2017-01-29,"Perverts In White Shirts","Power To The Sheeple"
"DF",2016-01-10,"Catalogue","Absolution"
"DF",2016-05-30,"Sarcastic Orgasm","SoapOpera Hallucinations"
"DF",2016-09-11,"Alienation","Not Fine"
"DF",2017-04-17,"G.e.n.","Czas"
"DF",2023-08-07,"Ed Sirrs","Santa Claus Has Died"
"DF",2022-06-29,"Prison Religion","Banshee Pale Fire Landing"
"DF",2023-08-07,"Spike In Vain","Escape From The Zoo"
"DF",2017-08-17,"A Witness","I Love You Mr Disposable Razors"
"DF",2016-08-29,"Reality Control","Man"
"DF",2016-08-26,"David Nance","Fully Automatic"
"DF",2016-07-17,"Clara Clamp","September"
"DF",2022-09-25,"Maximum Ernst","Nothing Escapes The Tape"
"DF",2021-05-21,"Rudimentary Peni","Anthem For Doomed Youth Path Of Glory"
"DF",2017-07-16,"Shit and Shine","Stop Saying Awesome"
"DF",2016-11-22,"No Balls","Time And Pressure"
"DF",2019-01-27,"Faux Depart","Le Voisin"
"DF",2016-08-29,"Die Krupps","Stahlwerksinfonie Live"
"DF",2015-12-30,"The Horrible Nerds","Pope Paul Is Dead"
"DF",2016-05-30,"Feed The Dragon","Bromide Romance"
"DF",2023-11-24,"Beat Detectives","Merindas"
"DF",2016-06-14,"David Kenneth Nance","In Her Kingdom"
"DF",2016-05-30,"Ultra","Clusterfuck Ii"
"DF",2017-07-23,"The Cravats","Rub Me Out"
"DF",2016-07-17,"The Jubilets","You Held Me All Night Long"
"DF",2017-07-16,"Goudhaantjes","This Is"
"DF",2016-01-10,"Exhaustion","Colleague"
"DF",2017-08-17,"Two Daughters","Return CallWe Are"
"DF",2017-01-29,"The Klinik","Insane Terror"
"DF",2023-11-24,"Little Claw","Movies For You"
"DF",2018-05-27,"Minisex","Valium"
"DF",2016-08-29,"Trouble Vs Glue","Despite"
"DF",2016-08-29,"Not Waving","24"
"DF",2023-11-24,"The Filmcast","Admission"
"DF",2025-11-28,"Morgan Garrett","Tearful Life"
"DF",2018-01-05,"C. Lavender","SelfImposed Quarantine"
"DF",2016-07-17,"Running","Thanks For The Input"
"DF",2025-11-28,"The Bomber Jackets","Are You Terrified"
"DF",2018-05-27,"Wetware","When You Respond"
"DF",2016-06-20,"Wolf Eyes","Half Animal Half Insane"
"DF",2023-11-24,"Leslie Keffer","Summon"
"DF",2025-11-28,"Bene Gesserit","American Orphan Girl"
"DF",2017-08-17,"Frozen Ducks","Beginnings"
"DF",2018-05-27,"FRKSE","Burn First Then An Affront"
"DF",2017-07-02,"Deutsch Nepal","Irrtum In Weltraum"
"DF",2021-05-21,"Zaliva-D","Wicked"
"DF",2021-05-21,"Hand Of Food","Absolutley Relaxing"
"DF",2017-03-26,"Ideas Beyond Filth","Ka"
"DF",2019-01-27,"Maoupa Mazzocchetti","Private Investigator On A Guitar Men"
"DF",2023-08-07,"Mick Ness","You In Me"
"DF",2016-07-05,"Werk","Tradition"
"DF",2016-07-05,"Opus","Master Of My Fate"
"DF",2025-11-28,"Vessel","Paplu Love that Moves the Sun"
"DF",2016-07-17,"Homostupids","Moon WaltzSneaky Leaker"
"DF",2019-01-27,"X-Mal Deutschland","Kalbermarsch"
"DF",2016-06-20,"Tab Ularasa","Bunnies"
"DF",2019-05-03,"Girl Arm","Dr Aftabs Revenge"
"DF",2018-05-27,"StÅed SvÄta","B1"
"DF",2016-01-10,"Judas Priest","Deep Freeze"
"DF",2016-05-30,"Brutum Fulmen","It Was 1951 When I First Contacted The Moon"
"DF",2016-07-17,"Hair & Treasure","Juno Lake Loop"
"DF",2016-06-14,"David Nance Band","Isnt That The Case"
"DF",2017-01-29,"Prostitutes","War Goes On"
"DF",2018-01-05,"Felix Menkar","Musica Ratonera"
"DF",2017-03-26,"Happy Halloween","Day 3"
"DF",2017-01-29,"Consolidated Plastics","Matter Of Fact"
"DF",2018-01-05,"Voice Farm","Davys Big Battle"
"DF",2019-05-03,"Rema-Rema","GalleryOh Rock N Roll"
"DF",2017-04-17,"Caroline K","Animal Lattice"
"DF",2023-11-24,"R.m.f.c.","Air Conditioning"
"DF",2017-01-29,"The Bombers","Dance"
"DF",2024-08-25,"Five Year Plan","Socred Youth"
"DF",2017-01-29,"Consolidated Plastics","Backwards"
"DF",2019-05-03,"This Little Alien","No Noise"
"DF",2017-03-26,"Clarinette","1960"
"DF",2016-07-17,"Again Again","Scarred For Life"
"DF",2022-09-25,"David Mitchell & Denise Roughan","Jewel"
"DF",2016-08-26,"Angel Face","Wolf City Blues"
"DF",2022-09-25,"Diana Rogerson","Not What I Wanted"
"DF",2017-01-29,"The Lucys","Lost Animal"
"DF",2016-07-05,"Watery Love","Neds Dreamcatcher"
"DF",2019-09-16,"The Choke","Top Man"
"DF",2021-05-21,"Greymachine","Sweatshop"
"DF",2025-02-17,"The Mob","I Hear You Laughing"
"DF",2016-06-20,"Athletico Spizz 80","Airships"
"DF",2023-08-07,"Haus Arafna","You"
"DF",2016-06-20,"Hula","Pleasure Hates Language"
"DF",2016-05-30,"Delta Sleep Inducing Peptide","Breathless Hurdler"
"DF",2023-01-02,"Shop Regulars","Mischief"
"DF",2016-11-22,"Joel Graham","Geomancy"
"DF",2016-09-11,"Clystere","Sonata No 1"
"DF",2017-01-29,"Suicide","Harlem Ii"
"DF",2018-01-05,"The Stallion","Comfortably Numb"
"DF",2016-08-26,"Sissy Spacek","Gun Cradle"
"DF",2023-01-02,"The Creepers","Black Lung"
"DF",2025-02-17,"Intimspray","One Million Barrels"
"DF",2023-11-24,"Cantenac Dagar","Aferie"
"DF",2016-11-22,"Krysmopompas","Lolas Welt"
"DF",2023-11-24,"Mary Jane Dunphe","Always Gonna Be The Same"
"DF",2016-01-10,"Ultra","Mllhalde"
"DF",2016-11-22,"People Skills","89 Cent Public Render"
"DF",2016-01-10,"A Tent","No Way Of Knowing"
"DF",2017-07-16,"Tackle","Grondman"
"DF",2016-08-26,"Tropa Macaca","Sol A Nascer"
"DF",2016-11-22,"Starving Dogs","Bastard Degenerate Scum"
"DF",2017-08-17,"Andre de Koning","Nieuws In Het Kort"
"DF",2017-07-23,"Multicult","Landfill"
"DF",2016-09-11,"Writhing Squares","Astral Trane"
"DF",2016-06-14,"Les Krash","Love"
"DF",2023-08-07,"Pissed Jeans","No Convenient Apocalypse"
"DF",2017-07-02,"De Fabriek","Mediterraneo"
"DF",2018-01-05,"Sun Skeletons","Maybe"
"DF",2016-11-22,"Zanti Misfitz","Mothers Ruin"
"DF",2016-11-22,"Tempest","Obscenities"
"DF",2017-07-02,"The Escorts","Bingo"
"DF",2016-06-14,"The Garbage & The Flowers","Henry Where Is Lyon"
"DF",2017-03-26,"Corrosive Crowd","Insektenliebe"
"DF",2016-08-26,"The Dead C","ThreeFive"
"DF",2016-11-22,"Pbk","Consupiscence"
"DF",2016-06-14,"The Horse He's Sick","Doctors Senora"
"DF",2017-08-17,"Grey Guides","Yoo Doo Rite Mr Pharmacyst"
"DF",2019-01-27,"Slurpy Gloop","Feelings"
"DF",2023-08-07,"Pink Military","Living In The Jungle"
"DF",2023-11-24,"Filth","The List"
"DF",2019-05-03,"Orgue Agnès","Fume Future"
"DF",2016-11-22,"What It Is","Rearing Pigs"
"DF",2015-12-30,"Sam Gopal","Escalator"
"DF",2016-07-05,"Dr. Telecom","Phone Is My Clone"
"DF",2017-08-17,"David Kenneth Nance","Amethyst"
"DF",2024-04-14,"Cheri Knight","Primary Colors"
"DF",2016-01-10,"Night Sun","Got A Bone Of My Own"
"DF",2017-08-17,"Clau D.E.D.I.","The Toaster Wants Your Blood"
"DF",2024-08-25,"Age Of Self","Shed No Tears"
"DF",2019-09-16,"Jim Shepard","Tabernacle Moneygun"
"DF",2016-07-17,"Running","We Never Came Close"
"DF",2016-08-26,"Normal Brain","Frottage One Way"
"DF",2017-07-23,"Marz","Lord Have Mercy"
"DF",2020-01-06,"Gerechtigkeits Liga","Five Skandhas"
"DF",2020-01-06,"The Lloyd Pack","Knock Through"
"DF",2024-08-25,"Age Of Self","Wounds"
"DF",2017-03-26,"Atom Mouth Gimlies","Pink Flies"
"DF",2017-01-29,"Violent Change","Colors Of The Pine"
"DF",2017-01-29,"Mark Feehan","Die Wasserbomben"
"DF",2018-01-05,"Charles Manier","Urge To Dive"
"DF",2015-12-30,"30 Windswept Dimes","Nestors Carbuncles"
"DF",2023-08-07,"Trespassers W","Bite You In The Heel"
"DF",2016-06-20,"The Terminals","Basket Case"
"DF",2016-06-14,"Jt Whitfield","Crawling Home"
"DF",2016-08-29,"Hermann's Orgie","Tu Was Du Willst Ii"
"DF",2019-09-16,"Eat Avery's Bones","Worst Morning Ever"
"DF",2024-08-25,"The Destructors Club Meets Scientist","Divide And Rule"
"DF",2025-11-28,"eat-girls","Canine"
"DF",2016-08-26,"Die Ulkigen Pulkigen","Help"
"DF",2016-11-22,"N.m.o.","Side A"
"DF",2023-08-07,"Crawling With Tarts","Gentle Wind"
"DF",2017-03-26,"Cube","Domain"
"DF",2016-08-29,"Helm & Decimus","Any Surface Will Do"
"DF",2016-11-22,"Westland","Pterodaktyl"
"DF",2023-08-07,"Morgan Garrett","Fall Walk"
"DF",2017-07-16,"O.R.D.U.C.","Crazy Computer"
"DF",2017-03-26,"Not Waving","Control Myself"
"DF",2016-09-11,"Retaliation","Morning Dew"
"DF",2019-01-27,"Luxurious Bags","Eyes Tell Me Hands Tell Me"
"DF",2022-06-29,"Gary Clail's Tackhead Sound System","Whats My Mission Now"
"DF",2017-07-23,"Life Support","Confusion"
"DF",2016-08-26,"Tildaflipers","Ardiendo A Fuego Lento"
"DF",2017-07-16,"Alessandra Novaga","Veronika Voss"
"DF",2023-01-02,"Glands Of External Secretion","Hide Your Love Away Stupid People Hate Fuck"
"DF",2016-09-11,"Dan Melchior","Propaganda Cult"
"DF",2022-06-29,"Mark Morgan","Gentlemans C"
"DF",2016-09-11,"Stefan Christensen","American Pastoral Again"
"DF",2018-01-05,"S. English","1111"
"DF",2016-06-20,"Stick Men With Ray Guns","Ill Kill Mother"
"DF",2023-08-07,"Paul Kelday","Dehumanization Process"
"DF",2023-11-24,"Raja Kirik","Act Iv Slompret Slompret"
"DF",2018-05-27,"Post Scriptvm","Warped In Sickness"
"DF",2025-11-28,"Conflict","The Final Conflict"
"DF",2016-08-29,"Eric Iverson","The Purpose Of Life"
"DF",2015-12-30,"The Bots","Im Gay"
"DF",2025-02-17,"Biocar","Walking On The Water"
"DF",2017-08-17,"Corporate Park","All Or Nothing"
"DF",2016-08-29,"Les Yeux Interdits","Prison"
"DF",2017-04-17,"Das Ding/Lyi","Cleaning Windows"
"DF",2017-03-26,"Throbbing Gristle","Primal Church"
"DF",2016-08-26,"Randomer","Dem Thing"
"DF",2017-07-02,"$Alami J.r.","Down With The Ascap"
"DF",2016-08-26,"Diana Tribute","Jacynth"
"DF",2016-08-26,"Moskow","Robot"
"DF",2017-07-16,"Exhibit A","Maniac Garden"
"DF",2025-02-17,"Greeting No. 4","Train"
"DF",2016-06-14,"David Nance Band","Pure Evil"
"DF",2016-07-05,"Astro Children","While I Appreciate Your Concern"
"DF",2019-09-16,"Jo Callis","Dodo Boys"
"DF",2022-06-29,"Matt Mawson","Open The Goddam Door"
"DF",2022-06-29,"The Puds","Toxic Shock"
"DF",2021-05-21,"Josh Landes","Strawberrry Mask"
"DF",2016-08-29,"Third Door From The Left","People Like You"
"DF",2025-02-17,"Midnight Mines","The Planet Drifts Into Random Insect Doom"
"DF",2016-07-17,"The Galaxies Iv","Dont Lose Your Mind"
"DF",2016-07-17,"Person Of Interest","Call This Number"
"DF",2021-05-21,"Rock Boycott & The Yellow Steed","Rock Out"
"DF",2017-07-16,"Form A Log","Prime Suspect"
"DF",2019-05-03,"Suspect","Early Morning"
"DF",2016-09-11,"Airmail","In A Moment"
"DF",2019-05-03,"Man Ray","Septembers Chance"
"DF",2016-01-10,"Ramleh","St John Of The Cross"
"DF",2022-06-29,"Head Of David","Grand Rift Faultline"
"DF",2016-11-22,"Rubble","Cigarette Rabbit"
"DF",2019-01-27,"Prophetic Four","Escape"
"DF",2016-07-17,"Running","1 Dad"
"DF",2021-05-21,"Vertical Slit","Metal Or Meat"
"DF",2019-01-27,"The Jarvis Street Revue","Mr Oil Man"
"DF",2018-01-05,"Ectoplasm Girls","Transmission From The 18Th Century"
"DF",2019-09-16,"Strafe Für Rebellion","Mosche Bildt Njet"
"DF",2016-08-26,"Zwoek","Untitled 9"
"DF",2021-05-21,"Glen Schenau","Jhumble"
"DF",2018-05-27,"Il Epoca del Hombre","Me Bato Contra Dios"
"DF",2024-08-25,"Age Of Self","They Buy Houses Dont They"
"DF",2017-01-29,"Campingsex","Schliess Die Tr"
"DF",2016-11-22,"Pink Street Boys","Body Language"
"DF",2017-08-17,"Manito","Love Lies"
"DF",2016-01-10,"Pumice","Mothers In Mantis"
"DF",2019-01-27,"Mattin","February"
"DF",2019-05-03,"Modern Warfare","Nothings Left For Me"
"DF",2024-04-14,"Omming For Woks","Cut Of Knives"
"DF",2016-11-22,"Burmese","Preyer"
"DF",2016-08-29,"David Welsh","Rock Drummer"
"DF",2018-05-27,"Lazarus","Awakening of Lazarus Part 2"
"DF",2016-01-10,"Squid Diddley","Flying"
"DF",2025-02-17,"Kallabris","Pigmies"
"DF",2016-11-22,"The Amorphons","Phone Ringing"
"DF",2024-08-25,"Richard H. Kirk","Martyrs Of Palestine"
"DF",2024-08-25,"The Upsets","I Dont Know Why"
"DF",2017-01-29,"Consolidated Plastics","Why Not"
"DF",2016-08-29,"Ost Morbi","Coglione"
"DF",2023-11-24,"Lifers","Spotlight"
"DF",2019-01-27,"I-Lp-On","Muistoissa 123 Poble Dub"
"DF",2018-05-27,"M.A.L.","Deimos"
"DF",2016-07-05,"The Tee-Vees","War Machine"
"DF",2023-11-24,"The Pedestrians","Looking Out My Window"
"DF",2019-05-03,"Kleistwahr","Anthem For A New Begining"
"DF",2017-07-16,"GRRR","Herman"
"DF",2018-01-05,"Painkiller","Buried Secrets"
"DF",2019-05-03,"Hartmann","Forget The Past"
"DF",2016-06-14,"David Nance Band","Unamused"
"DF",2022-06-29,"Arkansaw Man","AngelsAliens"
"DF",2017-07-02,"Baron Saturday","Motorway Of Love"
"DF",2023-01-02,"False Flag","Youve Got A Mustache"
"DF",2016-09-11,"Mars","CairoTunnelHairwaves"
"DF",2017-03-26,"Scouts Of Uzbekistan","Hansel And Zombie"
"DF",2017-08-17,"Noah Sterba","Amerika"
"DF",2021-05-21,"Nexda","Fivesixeight"
"DF",2017-07-23,"The Dodgems","Lord Lucan Is Missing"
"DF",2017-07-16,"Psychological Warfare Branch","Lebersraum Amerikkka"
"DF",2016-01-10,"Flo & Spicey","Sucking In The Sun"
"DF",2024-04-14,"Kit","Coast To Coast"
"DF",2017-08-17,"Margaret Freeman","Kill That Kill"
"DF",2018-01-05,"Enderie","Sore"
"DF",2023-08-07,"1919","Slave"
"DF",2017-07-23,"Sleep Chamber","Conversations In Between Walls"
"DF",2019-01-27,"Ekg","Immer"
"DF",2017-07-16,"Blue Screaming","ThinXCinema"
"DF",2016-08-29,"Gate & Control Unit","Walls We Know"
"DF",2017-08-17,"The Rebel","This Is How It Is"
"DF",2016-06-14,"Cp/Bw","Mr Measles"
"DF",2016-06-14,"Fluwelen Koord","Luxe Poesje"
"DF",2023-11-24,"Persher","Man With The Magic Soap"
"DF",2023-11-24,"Rigorous Institution","Criminal Betrayers"
"DF",2024-04-14,"Fan Tan","Dress Up"
"DF",2021-05-21,"Crazy Doberman","Cold Spots"
"DF",2016-06-20,"Gods Gift","Anaesthetic"
"DF",2023-01-02,"Beluga And The Human Ashtrays","Mars Needs Women"
"DF",2017-03-26,"No Trend","No Hopus Opus"
"DF",2016-09-11,"De Kommeniste","Look"
"DF",2016-09-11,"Bad Breeding","Burn This Flag"
"DF",2016-11-22,"Jad Fair & Jason Willett","They Could Be Vampires"
"DF",2016-06-20,"Overmen","1"
"DF",2024-04-14,"Photographed By Lightning","Sleeps Terminator"
"DF",2016-11-22,"Sleaford Mods","I Can Tell"
"DF",2016-07-05,"Dan Melchior","Bottom Of The Sea"
"DF",2019-09-16,"Flying Testicle","The Red Lanterns"
"DF",2021-05-21,"Frkse","Trade Secrets"
"DF",2017-07-02,"Aaron Dilloway","Born In A Maze"
"DF",2023-01-02,"Three-Legged Race","Mourning Order"
"DF",2017-03-26,"Berlinerluft","War"
"DF",2015-11-29,"Farmers","Houdini"
"DF",2016-11-22,"Sex Church","While You Are Asleep"
"DF",2019-01-27,"Pious Faults","Worship The Surface Ii"
"DF",2023-08-07,"Hogg","Flower"
"DF",2016-06-14,"Map","Warehouse"
"DF",2016-01-10,"Watery Love","Megs Dreamcatcher"
"DF",2019-05-03,"Javier Pedreira","Intelligencia Fisica"
"DF",2017-07-16,"The Clips","Sunshine Too Good To Be True"
"DF",2020-01-06,"Tana Emmolo-Smith","Prescient Dreams"
"DF",2018-05-27,"The Snifters","I Like Boys"
"DF",2017-03-26,"The Hamsters","Stupid Songs"
"DF",2015-12-30,"Hawkwind","Master Of The Universe"
"DF",2017-04-17,"Aaron Dilloway","Karaoke With Cal"
"DF",2016-09-11,"Slack Djs","Glasshouse Mountains"
"DF",2017-08-17,"Smexmec","La Sanga"
"DF",2019-01-27,"Amnesia Scanner","Too Wrong"
"DF",2016-01-10,"Black Humor","NeoHippies"
"DF",2017-07-16,"Two Daughters","Kiss The Cloth"
"DF",2023-01-02,"Niagara","I Always Will"
"DF",2015-11-29,"The Residents","Whoopy Snorp"
"DF",2017-01-29,"Consolidated Plastics","Take A Look"
"DF",2023-08-07,"The Jaunties","The Jaunties Call Donut World"
"DF",2016-06-20,"Akauzazte","Lurberria"
"DF",2017-07-23,"Bee Queen","Rainhas Des Abelhas"
"DF",2018-05-27,"Prominent Disturbance","A Laugh Or TwoHappy Again"
"DF",2017-07-23,"Joke Lanz","Except for the Cows"
"DF",2017-03-26,"Randomize","Movilidad Incesante"
"DF",2016-07-17,"The Jackofficers","Swingers Club"
"DF",2018-05-27,"Yoran","Concert Maillol"
"DF",2017-03-26,"Steve Flato","Realistic Binaural Haircut"
"DF",2017-07-16,"Animals & Men","Terminal Beach"
"DF",2022-06-29,"Avola","Revolutions"
"DF",2016-07-17,"Lelu/Lu's","Love Bytes"
"DF",2025-11-28,"Arianne Churchman & Benedict Drew","The Cuckoo"
"DF",2017-03-26,"Neoteric Tribesmen","Folk Tale Of The Sun Man"
"DF",2016-05-30,"Factorymen","Are You Hungry"
