"DJ","AirDate","Artist","Title"
"DF",2022-09-25,"Mark Stewart Vs Front 242","Rage Of Angels"
"DF",2017-01-29,"Consolidated Plastics","Atm Paranoia"
"DF",2024-04-14,"Pissed Jeans","Junktime"
"DF",2018-05-27,"Solar Schematics","Orbital Survailance Pod"
"DF",2023-01-02,"Bunker","Robots"
"DF",2017-08-17,"Last Few Days","If The Bonds Are Not To Burst"
"DF",2017-07-23,"Alvarius B.","Cooking With Satan"
"DF",2016-01-10,"Jake Meginsky","Rabbit Devours The Lunar Mouth"
"DF",2021-05-21,"Cube","Moderator"
"DF",2019-05-03,"King Blood","Second Ending 3"
"DF",2024-04-14,"Bumbites","Assumptions"
"DF",2024-08-25,"Schimpfluch-Gruppe","Fest Ausklang"
"DF",2017-07-23,"Autist Loser & SierÅÄ","Life Is Expected To Be Desired"
"DF",2016-08-26,"Blech Trommell","Falling Angel"
"DF",2016-11-22,"The Adverts","Drowning Men"
"DF",2024-04-14,"T.m.a.-1","Ride The Range"
"DF",2019-05-03,"Genetic Factor","Action Spot"
"DF",2022-09-25,"Newtown Neurotics","The Mess"
"DF",2017-01-29,"Consolidated Plastics","Buy My ProductFree Shipping Suite"
"DF",2021-05-21,"Precision Bearings","Dont Fall Down"
"DF",2024-08-25,"Age Of Self","In The Soup"
"DF",2016-07-17,"Running","Reclaimed Would"
"DF",2025-02-17,"Zanti Misfitz","Laugh In"
"DF",2017-07-16,"Sir Robert Orange Peel","Fifty 45s"
"DF",2022-06-29,"Negative Reaction","The Hollow Men"
"DF",2016-06-20,"Von Lmo","Flying Saucer 88"
"DF",2016-07-05,"The Sickness","Corpsemonger"
"DF",2016-08-26,"Le Calvaire Du Samedi","Mordue Par Un Oeuf"
"DF",2019-09-16,"Lack Of Knowledge","Sentinel"
"DF",2016-05-30,"Violent Students","Very Hot Awfully Wet"
"DF",2017-03-26,"Fly Ashtray","Coefficient Of Haze"
"DF",2016-05-30,"Crass","Yes Sir I Will"
"DF",2019-05-03,"Gunnar Haslam","Anekantavada"
"DF",2023-01-02,"Ddaa","Ronsard Did Celebrate Me"
"DF",2016-07-05,"Versatile Newts","Blimp"
"DF",2023-08-07,"Hunllef","Cabriolet"
"DF",2016-09-11,"A4","Side A"
"DF",2017-08-17,"S/Z","Old Black Russian"
"DF",2015-12-30,"Fanny Kaplan","Krasnotelie Lesa"
"DF",2016-09-11,"The Dedikation","Greenburg Glickstein Charles David Smith Jones"
"DF",2025-11-28,"Clear Thing","Back In The Boat"
"DF",2025-02-17,"Sun City Girls","Amphitheater Of Pause Avoid The Hyenas"
"DF",2016-01-10,"The Lavender Flu","Fingers Like Wounds"
"DF",2017-07-23,"The Managing Directors","Wimp Song"
"DF",2025-02-17,"Zuli","Robotic Handshakes In 4d"
"DF",2018-05-27,"Drew Daniel & John Wiese","OBV"
"DF",2016-07-05,"Dj Overdose","Heros Gone Mental"
"DF",2018-01-05,"Airmail","No Human Feeling"
"DF",2017-08-17,"Dok-U-Ment","Electronic Bithrights Explode"
"DF",2018-01-05,"Boots For Dancing","Parachute Guitars Girl Trouble"
"DF",2025-02-17,"Small Cruel Party","Ant Door"
"DF",2016-11-22,"The Roadrunners","Lsd"
"DF",2025-02-17,"The Third Power","Lost In A Daydream"
"DF",2019-05-03,"Tropical Trash","Leather Charm"
"DF",2016-06-14,"Here And Now","Addicted"
"DF",2016-11-22,"Data-Bank-A","Once"
"DF",2017-03-26,"Toerag","Vitamin E"
"DF",2017-03-26,"Enrique/S. English","Ribbed Ramp"
"DF",2016-07-05,"Negativland","1112"
"DF",2019-05-03,"Negative Gears","2020 Vision"
"DF",2019-05-03,"S.m. Nurse","How Does It Feel"
"DF",2016-11-22,"Paolo Tecon","DisMoi Pourqoui"
"DF",2024-08-25,"Naomie Klaus","I Gonna Be 40"
"DF",2017-01-29,"Mysteries Of Love","Eternal Love"
"DF",2016-09-11,"X-Cells","Freedom Man"
"DF",2016-08-29,"Executive Slacks","30 Years"
"DF",2017-07-23,"Genocide Organ","RMA Commandos"
"DF",2017-01-29,"Consolidated Plastics","Am I Still In Love"
"DF",2017-07-16,"Ace Kefford Stand","Gravy Booby Jam"
"DF",2018-01-05,"Guilty Razors","Provocate"
"DF",2016-08-26,"The Johnnies","And You"
"DF",2025-02-17,"Zaliva-D","Coast To Coast"
"DF",2015-12-30,"Spelling Missteaks","Mirrors"
"DF",2017-01-29,"Sparrow Steeple","Mantis"
"DF",2017-07-02,"Exek","A Hedonist"
"DF",2018-01-05,"Leprechaun Catering","Estoy En La Derecha Estoy En Espacio"
"DF",2017-07-02,"Carla Sagan","Make Believer"
"DF",2016-08-29,"Chen Yi","Rug"
"DF",2024-04-14,"The Freshies","My Tapes Gone"
"DF",2017-07-02,"Radio Club","Wheels Within Wheels"
"DF",2025-11-28,"Annie Achron","Glass Bells"
"DF",2016-08-26,"Laibach","Sredi Bojev"
"DF",2018-05-27,"FITH","Signs"
"DF",2016-08-29,"Urbain Autopsy","To The Garden"
"DF",2019-09-16,"Peter Jefferies","Cyclone Dawn"
"DF",2016-06-20,"Angus Maclise","Smothered Under Astral Collapse"
"DF",2016-06-14,"The Gynaecologists","The Red Pullover"
"DF",2018-01-05,"The Cowboy","Everyday We Grow"
"DF",2017-04-17,"Prutsers","Love Is The Drug"
"DF",2021-05-21,"Patois Counselors","RealitiesSeries Of Viceroys"
"DF",2023-08-07,"Barb Wire","Barb Wire Anthem"
"DF",2016-07-05,"House Band","After Work"
"DF",2017-01-29,"Brothers Gorgonzola","High In The Saddle"
"DF",2016-01-10,"Leslie Keffer","Foraged"
"DF",2016-08-26,"Mannamaschine","Step By Step"
"DF",2025-11-28,"Callahan & Witscher","The Value Of Music"
"DF",2016-07-17,"Bunker","Punk Rocker"
"DF",2016-01-10,"Radio Honolulu","Danza Enorme"
"DF",2016-01-10,"Liberez","How Much For Your Brother"
"DF",2018-05-27,"Megaptera","Shadow Land"
"DF",2016-08-29,"Slight Seconds","Puppet On A String"
"DF",2025-11-28,"Cestrian","Secret Language"
"DF",2025-11-28,"Subdued","Death Or Lies"
"DF",2017-07-23,"D.K.","Well Like"
"DF",2019-05-03,"Cyclobe","Teen Angel No9"
"DF",2019-01-27,"Nkdx","Rnb Fridays"
"DF",2016-07-05,"Red Zebra","I Cant Live In A Living Room"
"DF",2024-04-14,"Yally","Sudo"
"DF",2019-05-03,"Chen Yi","Hail"
"DF",2016-11-22,"Practic","Gone Unnoticed"
"DF",2017-04-17,"Bolero","Hotel Holland"
"DF",2017-07-16,"Sacramentu","Luce Morte II"
"DF",2019-01-27,"Fine Jewelers","Unreasonable Rider"
